order_id,customer_id,is_prime,order_value_usd
AMZ-100000,8122,True,114.37
AMZ-100001,9575,False,114.37
AMZ-100002,6797,True,114.37
AMZ-100003,7131,True,114.37
AMZ-100004,5815,True,114.37
AMZ-100005,7694,True,114.37
AMZ-100006,5442,True,114.37
AMZ-100007,8140,False,114.37
AMZ-100008,5142,True,114.37
AMZ-100009,9287,True,114.37
AMZ-100010,6410,True,114.37
AMZ-100011,9473,False,114.37
AMZ-100012,5534,False,114.37
AMZ-100013,6716,True,114.37
AMZ-100014,8364,True,114.37
AMZ-100015,6032,True,114.37
AMZ-100016,8342,True,114.37
AMZ-100017,6410,True,114.37
AMZ-100018,9500,True,114.37
AMZ-100019,6172,True,114.37
AMZ-100020,5888,True,114.37
AMZ-100021,8338,True,114.37
AMZ-100022,9517,True,114.37
AMZ-100023,6641,True,114.37
AMZ-100024,5471,True,114.37
AMZ-100025,7940,True,114.37
AMZ-100026,5546,True,114.37
AMZ-100027,9726,True,114.37
AMZ-100028,8597,True,114.37
AMZ-100029,7825,True,114.37
AMZ-100030,8723,True,114.37
AMZ-100031,5363,True,114.37
AMZ-100032,7166,True,114.37
AMZ-100033,8309,False,114.37
AMZ-100034,5545,False,114.37
AMZ-100035,8240,False,114.37
AMZ-100036,9729,True,114.37
AMZ-100037,6936,True,114.37
AMZ-100038,5962,True,114.37
AMZ-100039,8005,True,114.37
AMZ-100040,8806,True,114.37
AMZ-100041,5882,True,114.37
AMZ-100042,8840,True,114.37
AMZ-100043,5870,False,114.37
AMZ-100044,9611,True,114.37
AMZ-100045,7985,True,114.37
AMZ-100046,5865,True,114.37
AMZ-100047,9309,True,114.37
AMZ-100048,8203,True,114.37
AMZ-100049,7897,True,114.37
AMZ-100050,7244,False,114.37
AMZ-100051,5018,True,114.37
AMZ-100052,5641,False,114.37
AMZ-100053,8083,False,114.37
AMZ-100054,5329,True,114.37
AMZ-100055,5865,False,114.37
AMZ-100056,5773,True,114.37
AMZ-100057,9487,True,114.37
AMZ-100058,9732,True,114.37
AMZ-100059,7354,True,114.37
AMZ-100060,8338,True,114.37
AMZ-100061,8518,True,114.37
AMZ-100062,7942,False,114.37
AMZ-100063,7567,True,114.37
AMZ-100064,6674,True,114.37
AMZ-100065,7683,True,114.37
AMZ-100066,8380,True,114.37
AMZ-100067,5739,False,114.37
AMZ-100068,6545,True,114.37
AMZ-100069,9564,False,114.37
AMZ-100070,7259,True,114.37
AMZ-100071,6135,True,114.37
AMZ-100072,5873,True,114.37
AMZ-100073,9555,False,114.37
AMZ-100074,7300,True,114.37
